,z,y,x
0,50,321.996443993,362.001524003
1,53,311.988823978,311.988823978
2,58,319.98983998,365.989331979
3,59,494.665989332,213.33502667
4,56,481.330962662,209.321818644
5,61,458.674117348,342.672085344
6,62,297.332994666,416.002032004
7,61,310.668021336,319.98983998
8,60,386.66497333,267.995935992
9,59,224.003048006,256.007112014
10,62,246.65989332,380.01016002
11,66,306.65481331,241.325882652
12,66,442.672085344,19.9898399797
13,67,313.33502667,373.32994666
14,69,341.325882652,349.326898654
15,72,408.001016002,433.32486665
16,72,443.992887986,337.338074676
17,72,417.322834646,351.993903988
18,75,488.011176022,341.325882652
19,74,445.339090678,378.663957328
20,73,124.003048006,164.008128016
21,79,249.326898654,394.665989332
22,81,196.012192024,375.996951994
23,95,130.657861316,354.660909322
24,88,467.995935992,198.679197358
25,83,162.661925324,305.334010668
26,85,153.34010668,297.332994666
27,66,377.343154686,433.32486665
28,70,296.012192024,426.67005334
29,75,91.998983998,141.325882652
30,73,116.002032004,106.65481331
31,73,298.679197358,380.01016002
32,89,498.679197358,372.009144018
33,70,125.323850648,180.01016002
34,77,132.004064008,135.991871984
35,77,232.004064008,196.012192024
36,78,166.67513335,26.6700533401
37,86,401.346202692,19.9898399797
38,89,383.997967996,3.98780797562
39,86,353.34010668,127.990855982
40,84,233.32486665,401.346202692
41,67,475.996951994,374.676149352
42,75,305.334010668,243.992887986
43,82,419.98983998,26.6700533401
44,80,435.991871984,27.9908559817
45,82,405.334010668,40.0050800102
46,82,385.344170688,21.3360426721
47,15,375.996951994,461.341122682
48,32,496.012192024,358.674117348
49,34,485.344170688,467.995935992
50,27,405.334010668,404.013208026
51,27,334.671069342,475.996951994
52,48,200.0,480.01016002
53,6,448.006096012,498.679197358
54,35,440.00508001,437.338074676
55,41,350.673101346,380.01016002
56,21,137.338074676,417.322834646
57,29,332.004064008,318.669037338
58,20,248.006096012,457.327914656
59,32,114.655829312,438.658877318
60,41,149.326898654,443.992887986
61,17,65.3289306579,194.665989332
62,25,178.663957328,175.996951994
63,34,213.33502667,411.988823978
64,34,270.662941326,367.995935992
65,21,351.993903988,466.67513335
66,32,422.656845314,135.991871984
67,37,322.656845314,193.34518669
