,z,y,x
0,51,158.013716027,145.999491999
1,60,50.0127000254,332.004064008
2,61,27.9908559817,180.01016002
3,61,151.993903988,173.990347981
4,51,51.9939039878,304.013208026
5,54,224.003048006,181.330962662
6,54,74.6761493523,341.325882652
7,53,153.34010668,429.337058674
8,59,19.9898399797,281.330962662
9,84,41.3258826518,288.011176022
10,82,274.676149352,491.998983998
11,91,100.0,438.658877318
12,93,186.66497333,459.99491999
13,87,72.0091440183,419.98983998
14,58,305.334010668,488.011176022
15,63,88.0111760224,300.0
16,28,49.3268986538,221.336042672
17,36,13.3350266701,275.996951994
18,47,42.6720853442,388.011176022
19,46,202.667005334,496.012192024
20,4,211.988823978,454.660909322
21,43,130.657861316,66.6751333503
22,44,161.341122682,462.661925324
23,12,273.32994666,482.677165354
24,2,365.328930658,442.672085344
25,1,383.997967996,175.996951994
26,3,382.677165354,197.332994666
27,1,377.343154686,478.663957328
28,27,56.0071120142,135.991871984
29,35,197.332994666,497.332994666
30,46,196.012192024,213.33502667
31,32,264.008128016,498.679197358
32,33,189.331978664,77.3431546863
33,71,413.33502667,422.656845314
34,74,486.66497333,91.998983998
35,74,490.678181356,78.6639573279
36,74,486.66497333,105.334010668
37,66,486.66497333,405.334010668
38,11,341.325882652,493.34518669
39,35,132.004064008,343.992887986
40,34,32.0040640081,488.011176022
