,x,y,z
0,362.001524003,321.996443993,50
1,311.988823978,311.988823978,53
2,365.989331979,319.98983998,58
3,213.33502667,494.665989332,59
4,209.321818644,481.330962662,56
5,342.672085344,458.674117348,61
6,416.002032004,297.332994666,62
7,319.98983998,310.668021336,61
8,267.995935992,386.66497333,60
9,256.007112014,224.003048006,59
10,380.01016002,246.65989332,62
11,241.325882652,306.65481331,66
12,19.9898399797,442.672085344,66
13,373.32994666,313.33502667,67
14,349.326898654,341.325882652,69
15,433.32486665,408.001016002,72
16,337.338074676,443.992887986,72
17,351.993903988,417.322834646,72
18,341.325882652,488.011176022,75
19,378.663957328,445.339090678,74
20,164.008128016,124.003048006,73
21,394.665989332,249.326898654,79
22,375.996951994,196.012192024,81
23,354.660909322,130.657861316,95
24,198.679197358,467.995935992,88
25,305.334010668,162.661925324,83
26,297.332994666,153.34010668,85
27,433.32486665,377.343154686,66
28,426.67005334,296.012192024,70
29,141.325882652,91.998983998,75
30,106.65481331,116.002032004,73
31,380.01016002,298.679197358,73
32,372.009144018,498.679197358,89
33,180.01016002,125.323850648,70
34,135.991871984,132.004064008,77
35,196.012192024,232.004064008,77
36,26.6700533401,166.67513335,78
37,19.9898399797,401.346202692,86
38,3.98780797562,383.997967996,89
39,127.990855982,353.34010668,86
40,401.346202692,233.32486665,84
41,374.676149352,475.996951994,67
42,243.992887986,305.334010668,75
43,26.6700533401,419.98983998,82
44,27.9908559817,435.991871984,80
45,40.0050800102,405.334010668,82
46,21.3360426721,385.344170688,82
47,461.341122682,375.996951994,15
48,358.674117348,496.012192024,32
49,467.995935992,485.344170688,34
50,404.013208026,405.334010668,27
51,475.996951994,334.671069342,27
52,480.01016002,200.0,48
53,498.679197358,448.006096012,6
54,437.338074676,440.00508001,35
55,380.01016002,350.673101346,41
56,417.322834646,137.338074676,21
57,318.669037338,332.004064008,29
58,457.327914656,248.006096012,20
59,438.658877318,114.655829312,32
60,443.992887986,149.326898654,41
61,194.665989332,65.3289306579,17
62,175.996951994,178.663957328,25
63,411.988823978,213.33502667,34
64,367.995935992,270.662941326,34
65,466.67513335,351.993903988,21
66,135.991871984,422.656845314,32
67,193.34518669,322.656845314,37
