 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,51382,51382,51382,14.252,12.677,51,0,233
2,0.000,60314,60314,60314,5.748,25.906,52,0,233
3,0.000,65535,65535,65535,22.441,33.937,55,0,233
4,0.000,18915,18915,18915,12.283,12.283,54,0,233
5,0.000,18614,18614,18614,14.409,12.598,59,0,233
6,0.000,33972,33972,33972,13.071,21.654,61,0,233
7,0.000,34563,34563,34563,7.087,20.787,62,0,233
8,0.000,44309,44309,44309,6.850,25.669,62,0,233
9,0.000,21713,21713,21713,27.244,20.236,62,0,233
10,0.000,18862,18862,18862,29.528,13.622,62,0,233
11,0.000,13377,13377,13377,11.969,21.732,52,0,233
12,0.000,30404,30404,30404,23.701,27.402,54,0,233
13,0.000,8956,8956,8956,21.102,29.764,53,0,233
14,0.000,14209,14209,14209,20.709,26.378,51,0,233
15,0.000,12958,12958,12958,29.606,20.945,52,0,233
16,0.000,14311,14311,14311,31.496,21.969,53,0,233
17,0.000,33384,33384,33384,32.756,23.543,54,0,233
18,0.000,14276,14276,14276,23.937,3.622,52,0,233
19,0.000,11068,11068,11068,23.622,30.394,54,0,233
20,0.000,8713,8713,8713,32.992,28.268,55,0,233
21,0.000,12386,12386,12386,7.139,28.504,55,0,233
22,0.000,13606,13606,13606,13.438,22.625,55,0,233
23,0.000,11592,11592,11592,16.903,25.722,54,0,233
24,0.000,11547,11547,11547,28.714,10.656,53,0,233
25,0.000,17338,17338,17338,21.732,11.969,55,0,233
26,0.000,18485,18485,18485,8.399,19.475,60,0,233
27,0.000,7994,7994,7994,8.241,18.950,57,0,233
28,0.000,12912,12912,12912,11.076,20.472,60,0,233
29,0.000,18925,18925,18925,13.491,18.058,62,0,233
30,0.000,13772,13772,13772,16.378,11.706,63,0,233
31,0.000,8592,8592,8592,12.598,12.231,62,0,233
32,0.000,6512,6512,6512,10.551,15.223,61,0,233
33,0.000,7453,7453,7453,10.079,8.819,60,0,233
34,0.000,5621,5621,5621,14.961,9.711,63,0,233
35,0.000,13069,13069,13069,9.501,12.073,67,0,233
36,0.000,27178,27178,27178,0.787,17.428,67,0,233
37,0.000,10531,10531,10531,14.698,12.336,68,0,233
38,0.000,8767,8767,8767,13.753,13.438,70,0,233
39,0.000,25845,25845,25845,17.060,16.063,73,0,233
40,0.000,22860,22860,22860,20.525,6.194,69,0,233
41,0.000,10211,10211,10211,13.281,17.480,73,0,233
42,0.000,7242,7242,7242,13.858,16.430,73,0,233
43,0.000,26867,26867,26867,13.438,19.213,76,0,233
44,0.000,15910,15910,15910,14.908,17.533,75,0,233
45,0.000,58256,58256,58256,21.260,15.276,81,0,233
46,0.000,15522,15522,15522,6.457,4.882,74,0,233
47,0.000,11157,11157,11157,15.538,9.816,80,0,233
48,0.000,9543,9543,9543,14.803,7.717,82,0,233
49,0.000,35945,35945,35945,21.260,4.147,88,0,233
50,0.000,11808,11808,11808,13.963,5.144,96,0,233
51,0.000,18307,18307,18307,7.822,18.425,89,0,233
52,0.000,7102,7102,7102,12.021,6.404,84,0,233
53,0.000,4741,4741,4741,11.706,6.037,86,0,233
54,0.000,10125,10125,10125,17.060,14.856,67,0,233
55,0.000,7552,7552,7552,16.798,11.654,71,0,233
56,0.000,7920,7920,7920,5.564,3.622,76,0,233
57,0.000,6066,6066,6066,4.199,4.567,74,0,233
