 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,65535,65535,65535,7.992,9.895,2,0,204
2,0.000,65535,65535,65535,8.438,9.895,5,0,204
3,0.000,65009,65009,65009,8.688,9.724,11,0,204
4,0.000,63452,63452,63452,9.068,10.236,17,0,204
5,0.000,65320,65320,65320,7.165,10.420,18,0,204
6,0.000,64733,64733,64733,7.992,10.984,20,0,204
7,0.000,64043,64043,64043,7.992,11.680,23,0,204
8,0.000,64647,64647,64647,7.966,11.207,22,0,204
9,0.000,55584,55584,55584,6.850,10.801,3,0,204
10,0.000,64476,64476,64476,6.942,11.837,3,0,204
11,0.000,65535,65535,65535,4.042,12.283,3,0,204
12,0.000,34449,34449,34449,4.908,10.997,3,0,204
13,0.000,29907,29907,29907,4.304,12.808,4,0,204
14,0.000,52264,52264,52264,7.480,11.483,12,0,204
15,0.000,62846,62846,62846,7.585,11.903,11,0,204
16,0.000,65137,65137,65137,8.005,11.916,26,0,204
17,0.000,64328,64328,64328,7.717,12.362,28,0,204
18,0.000,48766,48766,48766,6.837,11.785,28,0,204
19,0.000,63690,63690,63690,7.940,11.837,94,0,204
20,0.000,65160,65160,65160,8.005,11.483,36,0,204
21,0.000,64478,64478,64478,7.861,10.564,30,0,204
22,0.000,64633,64633,64633,7.257,10.171,24,0,204
23,0.000,64403,64403,64403,7.087,11.430,44,0,204
24,0.000,57102,57102,57102,5.039,10.289,44,0,204
25,0.000,55642,55642,55642,5.394,10.932,52,0,204
26,0.000,64870,64870,64870,7.992,11.312,59,0,204
27,0.000,64575,64575,64575,7.927,11.050,62,0,204
28,0.000,65111,65111,65111,7.874,10.643,79,0,204
29,0.000,64293,64293,64293,7.730,10.459,73,0,204
30,0.000,65126,65126,65126,7.717,10.682,80,0,204
31,0.000,64698,64698,64698,8.031,11.207,83,0,204
32,0.000,64671,64671,64671,8.097,10.748,85,0,204
33,0.000,64432,64432,64432,8.281,10.105,84,0,204
34,0.000,50019,50019,50019,8.727,11.286,87,0,204
35,0.000,65527,65527,65527,7.822,11.496,93,0,204
36,0.000,65524,65524,65524,7.493,11.614,93,0,204
37,0.000,64538,64538,64538,6.417,10.079,94,0,204
38,0.000,44262,44262,44262,5.066,11.312,95,0,204
39,0.000,59456,59456,59456,7.874,12.546,97,0,204
40,0.000,64520,64520,64520,8.045,11.050,94,0,204
41,0.000,64728,64728,64728,8.255,10.984,95,0,204
42,0.000,65152,65152,65152,7.743,10.682,92,0,204
43,0.000,65254,65254,65254,8.018,10.171,95,0,204
44,0.000,61685,61685,61685,7.808,11.155,90,0,204
45,0.000,45602,45602,45602,8.412,10.184,73,0,204
46,0.000,30152,30152,30152,8.346,11.181,80,0,204
47,0.000,63700,63700,63700,7.507,12.677,75,0,204
48,0.000,64185,64185,64185,7.651,12.717,72,0,204
