 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,51382,51382,51382,14.252,12.677,51,0,249
2,0.000,60314,60314,60314,5.748,25.906,52,0,249
3,0.000,65535,65535,65535,22.441,33.937,55,0,249
4,0.000,18915,18915,18915,12.283,12.283,54,0,249
5,0.000,18614,18614,18614,14.409,12.598,59,0,249
6,0.000,33972,33972,33972,13.071,21.654,61,0,249
7,0.000,34563,34563,34563,7.087,20.787,62,0,249
8,0.000,44309,44309,44309,6.850,25.669,62,0,249
9,0.000,21713,21713,21713,27.244,20.236,62,0,249
10,0.000,18862,18862,18862,29.528,13.622,62,0,249
11,0.000,13377,13377,13377,11.969,21.732,52,0,249
12,0.000,30404,30404,30404,23.701,27.402,54,0,249
13,0.000,8956,8956,8956,21.102,29.764,53,0,249
14,0.000,14209,14209,14209,20.709,26.378,51,0,249
15,0.000,12958,12958,12958,29.606,20.945,52,0,249
16,0.000,14311,14311,14311,31.496,21.969,53,0,249
17,0.000,33384,33384,33384,32.756,23.543,54,0,249
18,0.000,14276,14276,14276,23.937,3.622,52,0,249
19,0.000,11068,11068,11068,23.622,30.394,54,0,249
20,0.000,8713,8713,8713,32.992,28.268,55,0,249
21,0.000,12386,12386,12386,7.139,28.504,55,0,249
22,0.000,13606,13606,13606,13.438,22.625,55,0,249
23,0.000,11592,11592,11592,16.903,25.722,54,0,249
24,0.000,11547,11547,11547,28.714,10.656,53,0,249
25,0.000,17338,17338,17338,21.732,11.969,55,0,249
26,0.000,18485,18485,18485,8.399,19.475,60,0,249
27,0.000,7994,7994,7994,8.241,18.950,57,0,249
28,0.000,12912,12912,12912,11.076,20.472,60,0,249
29,0.000,18925,18925,18925,13.491,18.058,62,0,249
30,0.000,13772,13772,13772,16.378,11.706,63,0,249
31,0.000,8592,8592,8592,12.598,12.231,62,0,249
32,0.000,6512,6512,6512,10.551,15.223,61,0,249
33,0.000,7453,7453,7453,10.079,8.819,60,0,249
34,0.000,13069,13069,13069,9.501,12.073,67,0,249
35,0.000,27178,27178,27178,0.787,17.428,67,0,249
36,0.000,10531,10531,10531,14.698,12.336,68,0,249
37,0.000,8767,8767,8767,13.753,13.438,70,0,249
38,0.000,25845,25845,25845,17.060,16.063,73,0,249
39,0.000,22860,22860,22860,20.525,6.194,69,0,249
40,0.000,10211,10211,10211,13.281,17.480,73,0,249
41,0.000,7242,7242,7242,13.858,16.430,73,0,249
42,0.000,26867,26867,26867,13.438,19.213,76,0,249
43,0.000,15910,15910,15910,14.908,17.533,75,0,249
44,0.000,58256,58256,58256,21.260,15.276,81,0,249
45,0.000,15522,15522,15522,6.457,4.882,74,0,249
46,0.000,11157,11157,11157,15.538,9.816,80,0,249
47,0.000,9543,9543,9543,14.803,7.717,82,0,249
48,0.000,35945,35945,35945,21.260,4.147,88,0,249
49,0.000,11808,11808,11808,13.963,5.144,96,0,249
50,0.000,18307,18307,18307,7.822,18.425,89,0,249
51,0.000,7102,7102,7102,12.021,6.404,84,0,249
52,0.000,4741,4741,4741,11.706,6.037,86,0,249
53,0.000,10125,10125,10125,17.060,14.856,67,0,249
54,0.000,7552,7552,7552,16.798,11.654,71,0,249
55,0.000,7920,7920,7920,5.564,3.622,76,0,249
56,0.000,6066,6066,6066,4.199,4.567,74,0,249
57,0.000,7665,7665,7665,14.961,11.759,74,0,249
58,0.000,14651,14651,14651,11.339,21.312,85,0,249
59,0.000,9706,9706,9706,14.646,19.633,90,0,249
60,0.000,10530,10530,10530,7.087,4.934,71,0,249
61,0.000,12586,12586,12586,5.354,5.197,78,0,249
62,0.000,7023,7023,7023,7.717,9.134,78,0,249
63,0.000,6507,6507,6507,1.050,6.562,79,0,249
64,0.000,16128,16128,16128,20.682,13.911,85,0,249
65,0.000,11464,11464,11464,20.840,12.756,86,0,249
66,0.000,14909,14909,14909,0.787,15.801,87,0,249
67,0.000,12069,12069,12069,0.157,15.118,90,0,249
68,0.000,7048,7048,7048,5.039,13.911,87,0,249
69,0.000,7992,7992,7992,15.801,9.186,85,0,249
