 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,62987,62987,62987,10.433,10.669,1,0,54
2,0.000,31977,31977,31977,12.638,10.945,2,0,54
3,0.000,64294,64294,64294,10.118,6.693,4,0,54
4,0.000,26973,26973,26973,11.772,8.661,1,0,54
5,0.000,63795,63795,63795,12.953,12.402,14,0,54
6,0.000,63306,63306,63306,13.268,11.890,13,0,54
7,0.000,50826,50826,50826,15.354,11.614,16,0,54
8,0.000,56646,56646,56646,11.378,9.567,9,0,54
9,0.000,63189,63189,63189,13.110,12.520,17,0,54
10,0.000,63313,63313,63313,12.717,11.575,16,0,54
11,0.000,62813,62813,62813,14.055,14.094,24,0,54
12,0.000,63820,63820,63820,13.780,14.291,25,0,54
13,0.000,49626,49626,49626,12.362,12.283,29,0,54
14,0.000,63710,63710,63710,13.110,12.244,29,0,54
15,0.000,64103,64103,64103,12.992,10.197,29,0,54
16,0.000,63544,63544,63544,12.047,8.543,35,0,54
17,0.000,63173,63173,63173,12.520,9.843,36,0,54
18,0.000,64016,64016,64016,12.953,10.354,36,0,54
19,0.000,62881,62881,62881,14.409,5.827,36,0,54
20,0.000,64555,64555,64555,11.102,9.055,38,0,54
21,0.000,62917,62917,62917,13.386,12.953,38,0,54
22,0.000,63414,63414,63414,12.520,8.150,41,0,54
23,0.000,62791,62791,62791,11.693,8.031,41,0,54
24,0.000,63814,63814,63814,13.583,5.709,41,0,54
25,0.000,63994,63994,63994,13.740,14.134,44,0,54
26,0.000,63613,63613,63613,14.134,12.362,45,0,54
27,0.000,64345,64345,64345,8.386,10.787,44,0,54
28,0.000,64122,64122,64122,8.701,10.118,52,0,54
29,0.000,63889,63889,63889,12.520,7.795,55,0,54
30,0.000,63700,63700,63700,14.055,13.898,52,0,54
31,0.000,62669,62669,62669,12.165,8.780,61,0,54
32,0.000,64266,64266,64266,11.535,8.150,61,0,54
33,0.000,62195,62195,62195,10.630,6.969,61,0,54
34,0.000,62851,62851,62851,9.409,4.646,72,0,54
35,0.000,63766,63766,63766,13.740,7.913,71,0,54
36,0.000,64506,64506,64506,9.803,13.031,70,0,54
37,0.000,64302,64302,64302,14.528,12.835,71,0,54
38,0.000,63255,63255,63255,13.228,14.409,71,0,54
39,0.000,53972,53972,53972,13.819,15.669,70,0,54
40,0.000,63523,63523,63523,13.898,13.976,75,0,54
41,0.000,62892,62892,62892,13.504,13.937,76,0,54
42,0.000,63397,63397,63397,10.433,7.835,79,0,54
43,0.000,63227,63227,63227,14.449,8.031,79,0,54
44,0.000,63109,63109,63109,12.047,7.717,79,0,54
45,0.000,63369,63369,63369,11.535,6.575,86,0,54
46,0.000,64373,64373,64373,9.134,8.819,88,0,54
47,0.000,63100,63100,63100,12.323,7.953,89,0,54
48,0.000,63257,63257,63257,10.157,5.827,91,0,54
49,0.000,63146,63146,63146,11.024,14.173,95,0,54
50,0.000,44239,44239,44239,9.961,13.898,95,0,54
51,0.000,62783,62783,62783,13.425,18.386,100,0,54
52,0.000,26196,26196,26196,8.543,11.654,100,0,54
53,0.000,31917,31917,31917,9.567,12.283,100,0,54
54,0.000,23501,23501,23501,9.488,9.843,100,0,54
