 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,65535,65535,65535,7.992,9.895,2,0,189
2,0.000,65535,65535,65535,8.438,9.895,5,0,189
3,0.000,65009,65009,65009,8.688,9.724,11,0,189
4,0.000,63452,63452,63452,9.068,10.236,17,0,189
5,0.000,65320,65320,65320,7.165,10.420,18,0,189
6,0.000,64733,64733,64733,7.992,10.984,20,0,189
7,0.000,64043,64043,64043,7.992,11.680,23,0,189
8,0.000,64647,64647,64647,7.966,11.207,22,0,189
9,0.000,55584,55584,55584,6.850,10.801,3,0,189
10,0.000,64476,64476,64476,6.942,11.837,3,0,189
11,0.000,65535,65535,65535,4.042,12.283,3,0,189
12,0.000,34449,34449,34449,4.908,10.997,3,0,189
13,0.000,29907,29907,29907,4.304,12.808,4,0,189
14,0.000,52264,52264,52264,7.480,11.483,12,0,189
15,0.000,62846,62846,62846,7.585,11.903,11,0,189
16,0.000,65137,65137,65137,8.005,11.916,26,0,189
17,0.000,64328,64328,64328,7.717,12.362,28,0,189
18,0.000,48766,48766,48766,6.837,11.785,28,0,189
19,0.000,63690,63690,63690,7.940,11.837,94,0,189
20,0.000,65160,65160,65160,8.005,11.483,36,0,189
21,0.000,64478,64478,64478,7.861,10.564,30,0,189
22,0.000,64633,64633,64633,7.257,10.171,24,0,189
23,0.000,64403,64403,64403,7.087,11.430,44,0,189
24,0.000,57102,57102,57102,5.039,10.289,44,0,189
25,0.000,55642,55642,55642,5.394,10.932,52,0,189
26,0.000,64870,64870,64870,7.992,11.312,59,0,189
27,0.000,64575,64575,64575,7.927,11.050,62,0,189
28,0.000,65535,65535,65535,8.018,10.919,75,0,189
29,0.000,65111,65111,65111,7.874,10.643,79,0,189
30,0.000,64293,64293,64293,7.730,10.459,73,0,189
31,0.000,65126,65126,65126,7.717,10.682,80,0,189
32,0.000,64698,64698,64698,8.031,11.207,83,0,189
33,0.000,64671,64671,64671,8.097,10.748,85,0,189
34,0.000,64432,64432,64432,8.281,10.105,84,0,189
35,0.000,50019,50019,50019,8.727,11.286,87,0,189
36,0.000,65527,65527,65527,7.822,11.496,93,0,189
37,0.000,65524,65524,65524,7.493,11.614,93,0,189
38,0.000,64538,64538,64538,6.417,10.079,94,0,189
39,0.000,44262,44262,44262,5.066,11.312,95,0,189
