,x,y,z
0,202.997205994,251.333502667,1
1,214.325628651,251.333502667,4
2,220.675641351,246.99009398,10
3,230.327660655,259.99491999,16
4,181.991363983,264.668529337,17
5,202.997205994,278.994157988,19
6,202.997205994,296.672593345,22
7,202.336804674,284.658369317,21
8,173.990347981,274.345948692,2
9,176.327152654,300.660401321,2
10,102.667005334,311.988823978,2
11,124.663449327,279.324358649,2
12,109.321818644,325.323850648,3
13,189.992379985,291.668783338,11
14,192.659385319,302.336804674,10
15,203.327406655,302.667005334,25
16,196.012192024,313.995427991,27
17,173.66014732,299.339598679,27
18,201.676403353,300.660401321,93
19,203.327406655,291.668783338,35
20,199.66979934,268.326136652,29
21,184.328168656,258.343916688,23
22,180.01016002,290.322580645,43
23,127.990855982,261.341122682,43
24,137.007874016,277.673355347,51
25,202.997205994,287.325374651,58
26,201.346202692,280.670561341,61
27,203.657607315,277.343154686,74
28,200.0,270.332740665,78
29,196.342392685,265.659131318,72
30,196.012192024,271.323342647,79
31,203.987807976,284.658369317,82
32,205.664211328,272.999745999,84
33,210.337820676,256.667513335,83
34,221.666243332,286.66497333,86
35,198.679197358,291.998983998,92
36,190.322580645,294.996189992,92
37,162.992125984,256.007112014,93
38,128.676657353,287.325374651,94
39,200.0,318.669037338,96
40,204.343408687,280.670561341,93
41,209.677419355,278.994157988,94
42,196.672593345,271.323342647,91
43,203.657607315,258.343916688,94
44,198.323596647,283.337566675,89
45,213.66522733,258.674117348,72
46,211.988823978,283.997967996,79
47,190.678181356,321.996443993,74
48,194.335788672,323.012446025,71
49,209.321818644,281.000762002,65
50,197.993395987,264.008128016,58
51,193.675387351,249.326898654,55
52,181.991363983,279.654559309,57
53,255.321310643,275.996951994,62
54,261.010922022,270.662941326,67
55,191.668783338,243.992887986,64
56,183.007366015,240.995681991,62
57,208.001016002,256.667513335,62
58,205.003810008,261.341122682,62
59,222.326644653,255.676911354,64
60,174.676149352,253.00990602,69
61,184.988569977,252.679705359,68
62,168.656337313,253.670307341,69
63,183.997967996,256.667513335,55
64,157.658115316,237.668275337,55
65,190.322580645,234.010668021,55
66,153.670307341,262.001524003,51
67,167.665735331,289.001778004,54
68,228.346456693,326.009652019,56
69,179.654559309,273.32994666,48
70,190.678181356,295.326390653,48
71,188.671577343,287.655575311,52
72,150.673101346,241.656083312,65
73,203.987807976,259.664719329,42
74,200.33020066,270.332740665,45
75,249.657099314,246.99009398,44
76,130.657861316,316.992633985,41
77,199.009398019,279.654559309,36
78,172.669545339,302.997205994,35
79,112.344424689,284.658369317,34
80,177.343154686,248.006096012,1
81,148.996697993,279.654559309,7
82,109.677419355,257.988315977,10
83,108.991617983,216.662433325,9
84,197.663195326,311.988823978,35
85,220.345440691,250.012700025,24
86,129.006858014,267.995935992,14
87,119.98983998,283.997967996,17
88,113.00482601,243.662687325,14
89,155.321310643,212.344424689,8
90,157.327914656,214.655829312,10
91,177.673355347,226.009652019,15
92,206.65481331,259.004318009,26
93,196.012192024,210.998221996,36
94,185.344170688,230.988061976,27
95,190.322580645,245.339090678,28
96,210.007620015,251.993903988,34
97,206.324612649,264.338328677,37
98,200.660401321,279.654559309,53
99,203.657607315,270.332740665,18
100,142.341884684,280.670561341,37
101,278.663957328,283.007366015,91
102,302.006604013,245.999491999,91
103,305.994411989,263.322326645,87
104,302.997205994,239.67487935,83
105,285.344170688,254.330708661,85
106,270.993141986,289.992379985,85
107,274.676149352,254.660909322,11
108,282.677165354,259.334518669,40
109,250.342900686,264.668529337,37
110,300.660401321,248.336296673,43
111,280.340360681,276.657353315,80
112,267.005334011,264.998729997,82
113,244.323088646,264.668529337,84
114,278.003556007,226.009652019,72
115,304.013208026,220.675641351,73
116,300.0,227.330454661,80
117,272.009144018,219.98983998,67
118,310.668021336,213.00482601,64
119,305.003810008,225.679451359,57
120,300.660401321,236.677673355,50
121,265.989331979,261.671323343,49
122,289.992379985,259.334518669,49
123,273.66014732,228.676657353,46
124,281.000762002,226.67005334,44
125,289.331978664,238.328676657,46
126,283.667767336,209.677419355,58
127,298.323596647,251.003302007,87
128,296.012192024,248.666497333,87
129,293.34518669,211.988823978,70
130,273.990347981,206.324612649,54
131,291.998983998,225.679451359,10
132,292.989585979,193.675387351,8
133,278.003556007,190.678181356,5
134,246.329692659,147.675895352,17
135,156.007112014,202.997205994,15
136,162.331724663,200.0,15
137,207.010414021,306.65481331,63
138,251.663703327,126.67005334,1
139,245.008890018,99.0093980188,9
140,187.655575311,129.667259335,5
141,200.660401321,158.674117348,10
142,342.011684023,139.67487935,26
143,316.002032004,145.999491999,28
144,162.992125984,136.322072644,28
145,243.002286005,101.346202692,35
146,233.32486665,96.0121920244,37
147,232.994665989,118.008636017,36
148,235.001270003,124.993649987,57
149,265.328930658,79.3243586487,34
150,250.342900686,92.6593853188,41
151,259.664719329,88.6715773432,64
152,257.327914656,99.3395986792,67
153,253.34010668,132.994665989,59
154,345.999491999,143.992887986,51
155,207.670815342,124.993649987,67
156,230.988061976,134.671069342,92
157,245.339090678,143.002286005,95
158,240.665481331,164.338328677,94
159,244.323088646,151.003302007,94
160,194.005588011,111.328422657,57
161,189.331978664,102.997205994,57
162,263.677927356,113.995427991,22
163,186.66497333,112.344424689,5
164,257.327914656,140.00508001,1
165,211.988823978,153.34010668,3
166,188.011176022,157.327914656,3
167,175.336550673,162.331724663,5
168,248.006096012,86.3347726695,39
169,281.000762002,114.655829312,53
170,197.332994666,116.332232664,75
171,154.000508001,97.9933959868,78
172,324.003048006,186.004572009,90
173,270.332740665,86.6649733299,58
174,248.666497333,97.332994666,49
175,243.992887986,88.0111760224,22
176,207.340614681,40.0050800102,23
177,267.005334011,79.6545593091,64
178,170.662941326,59.6647193294,49
179,280.01016002,24.3332486665,11
180,323.342646685,58.6741173482,83
181,301.346202692,103.987807976,83
182,315.011430023,80.0101600203,77
183,292.329184658,107.010414021,79
184,332.004064008,183.667767336,79
185,334.340868682,177.673355347,97
186,198.679197358,273.990347981,50
187,199.66979934,254.660909322,49
188,197.002794006,253.34010668,2
