,z,y,x
0,54,362.001524003,70.0025400051
1,61,13.9954279909,191.998983998
2,53,196.012192024,102.006604013
3,52,256.007112014,35.9918719837
4,50,170.002540005,26.0096520193
5,51,32.0040640081,251.993903988
6,52,58.0137160274,300.0
7,53,97.9933959868,332.004064008
8,53,272.009144018,100.0
9,54,218.008636017,337.998475997
10,67,54.6609093218,314.655829312
11,72,264.008128016,27.9908559817
12,72,272.009144018,67.9959359919
13,74,321.336042672,27.9908559817
14,83,170.662941326,96.0121920244
15,83,205.334010668,86.6649733299
16,85,183.997967996,17.3228346457
17,82,175.996951994,13.3350266701
18,77,8.00101600203,38.6588773178
19,84,225.323850648,61.3411226822
20,88,308.001016002,86.6649733299
21,89,248.006096012,194.665989332
22,92,121.336042672,72.0091440183
23,90,146.65989332,122.656845314
24,95,0.0,66.6751333503
25,80,33.3248666497,389.331978664
26,87,30.6578613157,275.996951994
27,90,275.996951994,206.68021336
28,65,308.001016002,180.01016002
29,63,141.325882652,140.00508001
30,58,125.323850648,382.677165354
31,58,122.656845314,374.676149352
32,14,106.68021336,204.013208026
33,16,140.00508001,46.6598933198
34,19,159.99491999,66.6751333503
35,24,97.332994666,373.32994666
36,12,51.9939039878,133.32486665
37,38,14.6558293117,149.326898654
38,37,118.669037338,119.98983998
39,47,166.67513335,196.012192024
40,47,170.662941326,142.672085344
41,48,29.3370586741,375.996951994
42,21,57.3279146558,149.326898654
43,22,81.3309626619,281.330962662
44,29,104.013208026,282.677165354
45,31,88.0111760224,125.323850648
46,34,61.3411226822,142.672085344
47,4,364.008128016,232.004064008
48,13,327.990855982,62.6619253239
49,47,146.65989332,327.990855982
50,86,414.655829312,72.0091440183
51,76,404.013208026,167.995935992
52,23,402.667005334,127.990855982
53,10,280.01016002,89.331978664
54,10,281.330962662,364.008128016
55,31,383.997967996,54.6609093218
